sample_name,expected_critical,tier,tier_name,total_time_seconds,masking_ratio,k_lower
"RAT-59 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.549726,0.0,0.0
"RAT-9 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.544116,0.0,0.0
"RAT-61 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.54245,0.0,0.0
"RAT-89 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.539053,0.0,0.0
"RAT-15 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.535061,0.002493,0.0
"RAT-1 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.532578,0.0,0.0
"RAT-75 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.530532,0.001422,0.0
"RAT-28 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.523072,0.0,0.0
"RAT-31 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.519912,0.0,0.0
"RAT-99 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.518474,0.0,0.0
"RAT-91 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.478781,0.002904,0.0
"RAT-59 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.477556,0.002052,0.0
"RAT-37 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.471293,0.003252,0.0
"RAT-24 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.466585,0.0,0.0
"RAT-18 (difficulty=1, Chatbot conversation)",True,3,TIER_3_LOCAL,3.460782,0.0,0.0
"RAT-5 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.436398,0.0,0.0
"RAT-38 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.430314,0.0,0.0
"RAT-94 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.429451,0.0,0.0
"RAT-64 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.425346,0.00298,0.0
"RAT-3 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.425276,0.0,0.0
"RAT-82 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.424028,0.0,0.0
"RAT-81 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.422923,0.0,0.0
"RAT-16 (difficulty=2, Meeting transcript)",True,3,TIER_3_LOCAL,3.40668,0.0,0.0
"RAT-58 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.404371,0.0,0.0
"RAT-88 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.366691,0.0,0.0
"RAT-83 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.364516,0.0,0.0
"RAT-30 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.36173,0.0,0.0
"RAT-76 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.357608,0.0,0.0
"RAT-98 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.348817,0.0,0.0
"RAT-86 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.331422,0.001778,0.0
"RAT-63 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.327427,0.0,0.0
"RAT-20 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.324853,0.0,0.0
"RAT-97 (difficulty=1, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.318129,0.0,0.0
"RAT-60 (difficulty=1, Meeting transcript)",True,3,TIER_3_LOCAL,3.317724,0.0,0.0
"RAT-85 (difficulty=1, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.300471,0.0,0.0
"RAT-61 (difficulty=2, Medical consultation)",True,2,TIER_2_CLOUD_MASKED,3.297773,0.0,0.0
"RAT-70 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,3.293044,0.0,0.0
"RAT-1 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.292225,0.0,0.0
"RAT-71 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,3.221542,0.0,0.0
"RAT-0 (difficulty=1, Medical consultation)",True,3,TIER_3_LOCAL,3.17951,0.0,0.0
"RAT-0 (difficulty=2, Meeting transcript)",True,2,TIER_2_CLOUD_MASKED,2.99501,0.0,0.0
"RAT-64 (difficulty=2, Chatbot conversation)",True,2,TIER_2_CLOUD_MASKED,2.794518,0.0,0.0
